Temperature,Humidity,Wind Speed,Weather Condition,Date
12.4,80,8.55,moderate rain,2024-12-05 21:00:00
9.76,75,8.48,broken clouds,2024-12-06 00:00:00
7.2,64,7.23,scattered clouds,2024-12-06 03:00:00
6.46,65,6.93,few clouds,2024-12-06 06:00:00
6.26,66,5.73,few clouds,2024-12-06 09:00:00
7.94,60,4.22,few clouds,2024-12-06 12:00:00
7.77,64,2.45,overcast clouds,2024-12-06 15:00:00
7.35,65,3.48,overcast clouds,2024-12-06 18:00:00
9.33,75,7.21,light rain,2024-12-06 21:00:00
11.06,93,8.5,light rain,2024-12-07 00:00:00
11.7,77,9.15,light rain,2024-12-07 03:00:00
9.0,73,8.8,light rain,2024-12-07 06:00:00
7.02,81,7.69,light rain,2024-12-07 09:00:00
6.8,85,6.86,light rain,2024-12-07 12:00:00
6.2,85,9.37,light rain,2024-12-07 15:00:00
5.41,90,9.02,light rain,2024-12-07 18:00:00
5.71,87,9.21,light rain,2024-12-07 21:00:00
7.29,84,9.08,light rain,2024-12-08 00:00:00
8.04,80,7.07,light rain,2024-12-08 03:00:00
7.46,87,7.49,light rain,2024-12-08 06:00:00
7.11,87,7.32,light rain,2024-12-08 09:00:00
9.29,70,7.33,light rain,2024-12-08 12:00:00
8.62,79,7.3,light rain,2024-12-08 15:00:00
8.83,78,6.34,light rain,2024-12-08 18:00:00
8.58,80,6.22,light rain,2024-12-08 21:00:00
8.09,78,6.35,overcast clouds,2024-12-09 00:00:00
7.68,76,6.28,light rain,2024-12-09 03:00:00
7.48,71,6.34,overcast clouds,2024-12-09 06:00:00
7.44,73,6.1,overcast clouds,2024-12-09 09:00:00
7.73,71,6.44,overcast clouds,2024-12-09 12:00:00
7.76,70,6.64,overcast clouds,2024-12-09 15:00:00
7.26,71,6.56,overcast clouds,2024-12-09 18:00:00
7.42,62,6.61,overcast clouds,2024-12-09 21:00:00
6.98,70,6.18,overcast clouds,2024-12-10 00:00:00
6.85,68,6.22,overcast clouds,2024-12-10 03:00:00
7.14,60,5.57,overcast clouds,2024-12-10 06:00:00
6.0,71,5.28,overcast clouds,2024-12-10 09:00:00
7.11,67,5.37,broken clouds,2024-12-10 12:00:00
6.76,65,5.34,broken clouds,2024-12-10 15:00:00
5.59,70,5.33,overcast clouds,2024-12-10 18:00:00
